epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3133,3.69916,3.94731,2.98891,0,0,0,0,4.51869,4.48613,3.42076,0.0881176,0.00792157,0.00792157
2,160.599,2.77409,2.85296,2.01496,0.27323,0.08725,0.06172,0.02791,2.50518,2.46237,1.83911,0.076046,0.0158499,0.0158499
3,246.996,2.39517,2.47585,1.73519,0.10337,0.17792,0.09343,0.04439,2.18906,2.72674,1.61792,0.0639024,0.0237063,0.0237063
4,329.682,2.18722,2.19709,1.59692,0.17522,0.16437,0.11086,0.05575,2.09448,2.32262,1.56029,0.0516867,0.0314906,0.0314906
5,417.436,2.02311,2.02113,1.49388,0.17126,0.13577,0.10294,0.05387,2.06862,2.07566,1.52359,0.0393991,0.039203,0.039203
6,504.699,1.89444,1.90062,1.46179,0.25651,0.16037,0.10346,0.05115,2.07209,2.18669,1.48987,0.0391,0.0391,0.0391
7,595.705,1.79137,1.71094,1.40972,0.32804,0.20604,0.16933,0.08706,1.80646,1.73603,1.37444,0.03892,0.03892,0.03892
8,676.561,1.74965,1.61829,1.37387,0.29799,0.22521,0.19542,0.10638,1.74723,1.58189,1.36108,0.03874,0.03874,0.03874
9,757.914,1.69043,1.52073,1.33077,0.28075,0.28558,0.20596,0.11217,1.6986,1.65034,1.31832,0.03856,0.03856,0.03856
10,840.228,1.65947,1.48739,1.31721,0.28408,0.22114,0.18996,0.1052,1.757,1.62675,1.3552,0.03838,0.03838,0.03838
11,921.635,1.6516,1.47933,1.3071,0.28471,0.22024,0.19704,0.10792,1.77941,1.58167,1.33931,0.0382,0.0382,0.0382
12,1006,1.64402,1.44073,1.2922,0.3397,0.26154,0.24689,0.13997,1.64744,1.43236,1.25538,0.03802,0.03802,0.03802
13,1088,1.61317,1.39669,1.27914,0.3539,0.28179,0.25837,0.14436,1.64156,1.41991,1.26267,0.03784,0.03784,0.03784
14,1171.55,1.59509,1.38889,1.26285,0.35575,0.27965,0.26853,0.15428,1.59968,1.38321,1.23439,0.03766,0.03766,0.03766
15,1254.16,1.60865,1.38651,1.26392,0.38225,0.27997,0.26782,0.1563,1.59432,1.38884,1.23645,0.03748,0.03748,0.03748
16,1338.93,1.57885,1.35559,1.25621,0.39238,0.29802,0.29299,0.16933,1.57637,1.34331,1.21703,0.0373,0.0373,0.0373
17,1418.8,1.56879,1.35251,1.24324,0.4126,0.29463,0.29733,0.17235,1.55609,1.32578,1.20222,0.03712,0.03712,0.03712
18,1500.95,1.55105,1.30698,1.2357,0.40887,0.30482,0.29915,0.17463,1.52982,1.29591,1.19283,0.03694,0.03694,0.03694
19,1581.61,1.55191,1.30223,1.2336,0.38717,0.31013,0.3015,0.17586,1.54841,1.3024,1.20197,0.03676,0.03676,0.03676
20,1663.59,1.53787,1.28736,1.22961,0.41084,0.28337,0.28767,0.17175,1.52781,1.35549,1.18978,0.03658,0.03658,0.03658
